label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
ごと,,ごと,毎,"[""recWCPX1UhchVaFjO""]",,ごと$1,/毎([にので])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,"口座毎に,項目毎の,フォーム毎で","口座ごとに,項目ごとの,フォームごとで","[""定義済"",""外部プラグインで定義済""]",,recLS9EdkzODMFcyb,,true,,
こぴーあんどぺーすと,true,コピーアンドペースト,"コピー＆ペースト, コピー・ペースト, コピペ",,,コピーアンドペースト,/コピー&ペースト|コピー＆ペースト|コピー・ペースト|コピペ/,,"コピー&ペースト,コピー＆ペースト,コピー・ペースト,コピペ","コピーアンドペースト,コピーアンドペースト,コピーアンドペースト,コピーアンドペースト","[""定義済""]",,reclIzV268RLlEDN5,true,true,,keroyama
ころ,true,頃,"ころ, ごろ",,"[""recoMZY4zaXJlHIiH""]",頃,/[^まご|^こ|^み|^ん]+(ころ|ごろ)[^がす|^っ|^ん]/,「頃」は漢字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"ころ,ごろ","頃,頃","[""定義予定""]",,recIW0Yu9wjEC8S3E,,,,kuvanov
さーばー,,サーバー,サーバ,,"[""recKk3i3NODrXp6D3""]",サーバー,/サーバ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,受信サーバに拒否されました,受信サーバーに拒否されました,"[""定義済""]",,rec4NXOMaZmUywRLH,,true,,
ざいしょくちゅう,,在職中,在籍中,,"[""rech4j4ZvDVJ3XisV""]",在職中,在籍中,従業員の休職や退職を表すステータスの総称は「在籍状況」と表現し、勤務中の状態は「在職中」と表現する https://smarthr.design/products/contents/idiomatic-usage/usage/,在籍中,在職中,"[""定義済""]",,recJsRiFWMnKkS3vP,,true,,
ざいせきじょうきょう,,在籍状況,在職状況,,"[""rech4j4ZvDVJ3XisV""]",在籍状況,在職状況,従業員の休職や退職を表すステータスの総称は「在籍状況」と表現し、勤務中の状態は「在職中」と表現する https://smarthr.design/products/contents/idiomatic-usage/usage/,在職状況,在籍状況,"[""定義済""]",,recyQC9SuJwF2oxaR,,true,,
さいよみこみ,,再読み込み,"再読込,リロード","[""rec2dXhsgUwiy472Q""]","[""recK31GhX5zoFsAnA""]",再読み込み,/再(読込み|読込)|リロード/,「再読み込み」と表現し、「更新」「リロード」の使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/,"再読込み,再読込,リロード,再読み込み","再読み込み,再読み込み,再読み込み,再読み込み","[""定義済""]",,recndzwXZhR8qEpTH,,true,,
さきほど,,さきほど,先程,"[""recWCPX1UhchVaFjO""]",,さきほど,先程,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,先程,さきほど,"[""定義済"",""外部プラグインで定義済""]",,recBYWt4Uga7HURqa,,true,,
さしもどし,,差し戻し,差戻し,,"[""recm8V38MkxhYrKNr""]",差し戻し,差戻し,送りがなを付けて表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,差戻し,差し戻し,"[""定義済""]",,recqbfgHx3OyH147z,,true,,
さぶどめいん,true,サブドメイン,-,,,サブドメイン,テナントID,「テナントID」は社内用語のため、「サブドメイン」に置き換えます。内部的に使用する「tenant_id」はそのまま表記してください。,テナントID,サブドメイン,"[""定義済""]",,receS8shqB0sGIXpp,,true,,
